antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'20675'}),frozenset({'20676'}),0.017933193083277746,0.02511673251577813,0.010980553132536302,0.6123032904148784,24.37830199570085,1.0,0.010530129918709812,2.5145513061677898,0.9764915269175921,0.34240000000000004,0.6023147360138722,0.5247420435731185
frozenset({'20676'}),frozenset({'20675'}),0.02511673251577813,0.017933193083277746,0.010980553132536302,0.4371807967313585,24.37830199570085,1.0,0.010530129918709812,1.744906359294866,0.9836869169946184,0.34240000000000004,0.4269033437392537,0.5247420435731185
frozenset({'20675'}),frozenset({'20677'}),0.017933193083277746,0.019600800451536764,0.01187849556159885,0.6623748211731044,33.7932536383315,1.0,0.011526990622514643,2.9038094935778633,0.9881285956801086,0.4629999999999999,0.6556247914294568,0.6341978817907407
frozenset({'20677'}),frozenset({'20675'}),0.019600800451536764,0.017933193083277746,0.01187849556159885,0.6060209424083769,33.79325363833149,1.0,0.011526990622514643,2.492687842140783,0.9898093503438236,0.4629999999999999,0.5988266227747254,0.6341978817907407
frozenset({'20677'}),frozenset({'20676'}),0.019600800451536764,0.02511673251577813,0.01010826620144697,0.5157068062827225,20.53240030162202,1.0,0.009615958139410578,2.0130022063728252,0.9703154476832181,0.29206819866567824,0.5032295559169441,0.45907914369294445
frozenset({'20676'}),frozenset({'20677'}),0.02511673251577813,0.019600800451536764,0.01010826620144697,0.4024514811031665,20.53240030162202,1.0,0.009615958139410578,1.6407022501845223,0.975805534823719,0.29206819866567824,0.39050488905739317,0.45907914369294445
frozenset({'21238'}),frozenset({'20676'}),0.02357740263738519,0.02511673251577813,0.010416132177125559,0.4417845484221981,17.58925242941822,1.0,0.009823944861665553,1.7464283095867443,0.965921009084029,0.27211796246648795,0.42740277713625197,0.42824671752059856
frozenset({'20676'}),frozenset({'21238'}),0.02511673251577813,0.02357740263738519,0.010416132177125559,0.414708886618999,17.58925242941822,1.0,0.009823944861665553,1.6682682771692843,0.9674461876557032,0.27211796246648795,0.40057602623913774,0.42824671752059856
frozenset({'20685'}),frozenset({'48138'}),0.04433270049771666,0.04233157165580584,0.011083175124429166,0.25,5.905757575757576,1.0,0.009206502236614693,1.276891237792259,0.8692080536912752,0.14663951120162932,0.21684794256322332,0.2559090909090909
frozenset({'48138'}),frozenset({'20685'}),0.04233157165580584,0.04433270049771666,0.011083175124429166,0.26181818181818184,5.905757575757576,1.0,0.009206502236614693,1.2946231889809257,0.8673917702528933,0.14663951120162932,0.22757447223917027,0.2559090909090909
frozenset({'20712'}),frozenset({'20711'}),0.0365334291138591,0.027220483349581815,0.010723998152804146,0.2935393258426966,10.783766109987397,1.0,0.009729540553907217,1.376976174662222,0.9416704698025912,0.20222544750846635,0.27377102204015685,0.34375364030117866
frozenset({'20711'}),frozenset({'20712'}),0.027220483349581815,0.0365334291138591,0.010723998152804146,0.39396795475966073,10.783766109987399,1.0,0.009729540553907217,1.5897947616021704,0.9326553478114437,0.20222544750846635,0.37098798904569574,0.34375364030117866
frozenset({'21931'}),frozenset({'20711'}),0.060264764739083584,0.027220483349581815,0.01377700241161681,0.22860791826309068,8.398378358208058,1.0,0.01213656638647012,1.2610701349954925,0.9374229687348197,0.1869126348764358,0.20702269267238305,0.36736710710515513
frozenset({'20711'}),frozenset({'21931'}),0.027220483349581815,0.060264764739083584,0.01377700241161681,0.5061262959472196,8.398378358208056,1.0,0.01213656638647012,1.9027845126180005,0.905579711522212,0.1869126348764358,0.4744544149016005,0.36736710710515513
frozenset({'20711'}),frozenset({'22386'}),0.027220483349581815,0.05793011442352096,0.012135050541331007,0.4458058435438266,7.695580234566552,1.0,0.010558164826226187,1.6998914091779664,0.894401318647423,0.16619817287420943,0.41172712880313916,0.32764162859210816
frozenset({'22386'}),frozenset({'20711'}),0.05793011442352096,0.027220483349581815,0.012135050541331007,0.20947741364038974,7.695580234566552,1.0,0.010558164826226187,1.2305524641998007,0.9235570479072532,0.16619817287420943,0.18735687498681622,0.32764162859210816
frozenset({'22411'}),frozenset({'20711'}),0.05669865052080661,0.027220483349581815,0.011339730104161321,0.19999999999999998,7.347408105560791,1.0,0.009796365431715947,1.2159743958130227,0.9158235422106179,0.15623895369388477,0.17761426273175618,0.3082940622054665
frozenset({'20711'}),frozenset({'22411'}),0.027220483349581815,0.05669865052080661,0.011339730104161321,0.41658812441093307,7.347408105560792,1.0,0.009796365431715947,1.6168703260055317,0.8880713136587811,0.15623895369388477,0.3815212117408983,0.3082940622054665
frozenset({'20712'}),frozenset({'20713'}),0.0365334291138591,0.03360870234491251,0.013084303966339987,0.35814606741573035,10.656349172313236,1.0,0.011856462821613336,1.5056249538958915,0.9405196386484509,0.22931654676258995,0.3358239730203445,0.3737295222574835
frozenset({'20713'}),frozenset({'20712'}),0.03360870234491251,0.0365334291138591,0.013084303966339987,0.3893129770992367,10.656349172313234,1.0,0.011856462821613336,1.577676509826056,0.9376732109430796,0.22931654676258995,0.3661565005425267,0.3737295222574835
frozenset({'20712'}),frozenset({'20719'}),0.0365334291138591,0.04076658627943969,0.010493098671045205,0.2872191011235955,7.045453822275333,1.0,0.009003755480991273,1.345761951860175,0.8906012180276214,0.15706605222734255,0.2569265324987431,0.27230684445732956
frozenset({'20719'}),frozenset({'20712'}),0.04076658627943969,0.0365334291138591,0.010493098671045205,0.25739458779106356,7.045453822275333,1.0,0.009003755480991273,1.2974138823204049,0.8945314970127387,0.15706605222734255,0.2292359334004387,0.27230684445732956
frozenset({'20712'}),frozenset({'20725'}),0.0365334291138591,0.08001949817845964,0.010441787675098773,0.285814606741573,3.571812036413284,1.0,0.00751840101066944,1.2881536230028254,0.7473326861408024,0.09840425531914893,0.22369507631481725,0.2081525742909532
frozenset({'20725'}),frozenset({'20712'}),0.08001949817845964,0.0365334291138591,0.010441787675098773,0.13049054184033343,3.571812036413284,1.0,0.00751840101066944,1.1080576086260596,0.7826579574257981,0.09840425531914893,0.09751984714950516,0.2081525742909532
frozenset({'20712'}),frozenset({'20726'}),0.0365334291138591,0.05005387654574375,0.010185232695366617,0.27879213483146065,5.569841020738428,1.0,0.008356592944708833,1.3171599608557554,0.8515725264938389,0.1333109469442579,0.2407907697480399,0.24113876346903634
frozenset({'20726'}),frozenset({'20712'}),0.05005387654574375,0.0365334291138591,0.010185232695366617,0.203485392106612,5.569841020738429,1.0,0.008356592944708833,1.209603140153707,0.8636928365773523,0.1333109469442579,0.17328256946081705,0.24113876346903634
frozenset({'20712'}),frozenset({'21929'}),0.0365334291138591,0.041715839704448664,0.010493098671045205,0.2872191011235955,6.885132917340409,1.0,0.00896907599827762,1.3444301913900147,0.8871709172369621,0.1548655812192351,0.25619046165119685,0.2693783082493746
frozenset({'21929'}),frozenset({'20712'}),0.041715839704448664,0.0365334291138591,0.010493098671045205,0.25153751537515373,6.8851329173404086,1.0,0.00896907599827762,1.2872610059661997,0.8919687466780059,0.1548655812192351,0.22315676823488156,0.2693783082493746
frozenset({'20712'}),frozenset({'21930'}),0.0365334291138591,0.0339165683205911,0.010467443173071989,0.28651685393258425,8.44769586428462,1.0,0.009228354628546315,1.3540381955821634,0.9150546089448188,0.17450812660393494,0.26146839634013885,0.29757007598293356
frozenset({'21930'}),frozenset({'20712'}),0.0339165683205911,0.0365334291138591,0.010467443173071989,0.30862329803328287,8.44769586428462,1.0,0.009228354628546315,1.3935479285683567,0.9125759715400925,0.17450812660393494,0.28240717129310594,0.29757007598293356
frozenset({'20712'}),frozenset({'21931'}),0.0365334291138591,0.060264764739083584,0.017394427625840217,0.47612359550561795,7.900530228019573,1.0,0.015192749115181512,1.7938109584605162,0.9065454300379726,0.21906300484652663,0.44252765583603093,0.38237852827643604
frozenset({'21931'}),frozenset({'20712'}),0.060264764739083584,0.0365334291138591,0.017394427625840217,0.2886334610472541,7.900530228019572,1.0,0.015192749115181512,1.3543883752313253,0.9294386163871801,0.21906300484652663,0.26165934506843136,0.38237852827643604
frozenset({'20712'}),frozenset({'22379'}),0.0365334291138591,0.040304787315921804,0.01005695520550054,0.2752808988764045,6.829980188672498,1.0,0.008584483115145144,1.3242306035485731,0.88595361455015,0.15059546676911256,0.2448445177748682,0.2624017479741666
frozenset({'22379'}),frozenset({'20712'}),0.040304787315921804,0.0365334291138591,0.01005695520550054,0.24952259707192873,6.829980188672498,1.0,0.008584483115145144,1.2838049048873004,0.889435187018909,0.15059546676911256,0.2210654467878159,0.2624017479741666
frozenset({'20712'}),frozenset({'22385'}),0.0365334291138591,0.03224896095233208,0.010467443173071989,0.28651685393258425,8.884529779303318,1.0,0.009289278044124355,1.356375472051062,0.9210955831445855,0.1794984601847778,0.262741017803989,0.3055495964173661
frozenset({'22385'}),frozenset({'20712'}),0.03224896095233208,0.0365334291138591,0.010467443173071989,0.324582338902148,8.884529779303318,1.0,0.009289278044124355,1.4264752409939685,0.91701766998255,0.1794984601847778,0.29897135872950753,0.3055495964173661
